,sentence,meta,max_match_extracted,y_true
0,But the staff was so horrible to us.,{'staff': 'negative'},"{('staff', 'negative')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",{'food': 'positive'},"{('food', 'positive')}","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","{'menu': 'neutral', 'food': 'positive', 'kitchen': 'positive'}","{('kitchen', 'positive'), ('food', 'positive'), ('menu', 'positive'), ('eating', 'positive')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"Not only was the food outstanding, but the little 'perks' were great.","{'food': 'positive', 'perks': 'positive'}","{('food', 'positive')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"{'waiters': 'positive', 'dish': 'neutral', 'orrechiete with sausage and chicken': 'positive', 'meats': 'neutral'}","{('agreed', 'positive'), ('kind', 'positive'), ('meats', 'positive'), ('dish', 'positive'), ('waiters', 'positive')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",{'bagels': 'positive'},"{('bagels', 'positive')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,Nevertheless the food itself is pretty good.,{'food': 'positive'},"{('food', 'positive')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",{'songs': 'neutral'},"{('st. germain', 'positive'), ('noticed megadeth', 'positive'), ('jay-z', 'positive'), ('mr. scruff', 'positive'), ('songs', 'positive'), ('daft punk', 'positive'), ('sabbath', 'negative')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","{'cheese': 'neutral', 'omelet': 'neutral', 'toast': 'negative', 'plate': 'neutral', 'mayonnaise': 'negative', 'bacon': 'negative', 'ingredients': 'negative'}","{('cheese', 'positive'), ('omelet', 'positive'), ('mayonnaise', 'positive'), ('ingredients', 'positive'), ('bacon', 'positive'), ('temperatures', 'positive'), ('toast', 'positive'), ('plate', 'positive')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","{'check': 'neutral', 'drinks': 'neutral'}","{('hour', 'positive'), ('drinks', 'positive'), ('check', 'positive'), ('talk', 'positive')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,The design and atmosphere is just as good.,"{'atmosphere': 'positive', 'design': 'positive'}","{('design', 'positive'), ('atmosphere', 'positive')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,He has visited Thailand and is quite expert on the cuisine.,{'cuisine': 'positive'},"{('cuisine', 'positive')}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,The pizza is the best if you like thin crusted pizza.,"{'pizza': 'positive', 'thin crusted pizza': 'neutral'}","{('pizza', 'positive')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"All the money went into the interior decoration, none of it went to the chefs.","{'chefs': 'negative', 'interior decoration': 'positive'}","{('interior decoration', 'positive'), ('chefs', 'positive')}","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
14,The seats are uncomfortable if you are sitting against the wall on wooden benches.,{'seats': 'negative'},"{('seats', 'negative')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"I asked for seltzer with lime, no ice.",{'seltzer with lime': 'neutral'},set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","{'pickles': 'positive', 'selection of meats and seafoods': 'positive'}","{('experience', 'positive'), ('seafoods', 'positive'), ('people', 'positive'), ('meats', 'positive'), ('pickles', 'positive')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,My suggestion is to eat family style because you'll want to try the other dishes.,"{'dishes': 'neutral', 'eat family style': 'positive'}","{('dishes', 'negative')}","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,"Best of all is the warm vibe, the owner is super friendly and service is fast.","{'vibe': 'positive', 'owner': 'positive', 'service': 'positive'}","{('service', 'positive'), ('owner', 'positive'), ('vibe', 'positive')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,Faan's got a great concept but a little rough on the delivery.,{'delivery': 'negative'},"{('delivery', 'positive')}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","{'atmosphere': 'positive', 'food': 'positive', 'service': 'positive'}","{('service', 'positive'), ('neighborhood', 'positive'), ('food', 'positive'), ('atmosphere', 'positive'), ('beat', 'positive')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"Great food at REASONABLE prices, makes for an evening that can't be beat!","{'prices': 'positive', 'food': 'positive'}","{('food', 'positive'), ('evening', 'positive'), ('prices', 'positive')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,this little place has a cute interior decor and affordable city prices.,"{'prices': 'positive', 'interior deco': 'positive'}",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,Two words: Free wine.,{'wine': 'positive'},"{('wine', 'positive'), ('words', 'positive')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,The price is reasonable although the service is poor.,"{'price': 'positive', 'service': 'negative'}","{('service', 'positive'), ('price', 'positive')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,"The quantity is also very good, you will come out satisfied.",{'quantity': 'positive'},"{('quantity', 'positive')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","{'sushi bar': 'neutral', 'sushi': 'neutral'}","{('sushi bar', 'positive')}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
27,The fried rice is amazing here.,{'fried rice': 'positive'},"{('fried rice', 'positive')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","{'puff pastry goat cheese': 'positive', 'mussels': 'positive', 'hanger steak au poivre': 'positive', 'salad with a delicious dressing': 'positive', 'courses': 'neutral'}","{('dressing', 'positive'), ('mussels', 'positive'), ('hanger steak au poivre', 'positive'), ('puff pastry goat cheese', 'positive')}","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,it's a perfect place to have a amanzing indian food.,{'indian food': 'positive'},"{('place', 'positive'), ('indian food', 'positive')}","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,The place is so cool and the service is prompt and curtious.,"{'service': 'positive', 'place': 'positive'}","{('place', 'positive'), ('service', 'positive')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,{'broth with noodles': 'positive'},set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,I just wonder how you can have such a delicious meal for such little money.,"{'money': 'positive', 'meal': 'positive'}","{('meal', 'positive'), ('money', 'negative')}","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,The food was delicious but do not come here on a empty stomach.,{'food': 'conflict'},"{('food', 'negative')}","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
