,sentence,label
0,love al di la,3
1,i recommend this place to everyone.,9
2,great food.,28
3,one of my favorite places in brooklyn. ,-1
4,"the pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.",30
5,overpriced and not tasty ,-1
6,the food here was mediocre at best. ,30
7,it was totally overpriced- fish and chips was about $15.... ,-1
8,tasty dog!,28
9,"an awesome organic dog, and a conscious eco friendly establishment.",28
10,one of the best hot dogs i have ever eaten.,-1
11,can't wait to go back.,-1
12,the cypriot restaurant has a lot going for it.,-1
13,but the best pork souvlaki i ever had is the main thing.,-1
14,run don't walk.,-1
15,super yummy pizza!,-1
16,i was visiting new york city with a friend and we discovered this really warm and inviting restaurant.,28
17,"i looove their eggplant pizza, as well as their pastas!",24
18,"we had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!",30
19,"we had fun eating in there, we were there like around 3 a.m. in the morning!",-1
20,"will comeback for sure, wish they have it here in la..",-1
21,"excellent food, although the interior could use some help.",28
22,"the space kind of feels like an alice in wonderland setting, without it trying to be that.",-1
23,"i paid just about $60 for a good meal, though :)",28
24,great sake!,28
25,"reliable, fresh sushi",-1
26,the sashimi is always fresh and the rolls are innovative and delicious.,30
27,have never had a problem with service save a missing rice once.,-1
28,delivery can be spot on or lacking depending on the weather and the day of the week.,-1
29,delivery guy sometimes get upset if you don't tip more than 10%.,30
30,best. sushi. ever.,-1
31,this place has ruined me for neighborhood sushi.,-1
32,"creative, consistent, fresh.",-1
33,"excellent sashimi, and the millennium roll is beyond delicious.",30
34,not cheap but very yummy.,-1
35,love it.,-1
36,"very, very nice",-1
37,"the place is a bit hidden away, but once you get there, it's all worth it.",30
38,not only is the food,9
39,loved it,-1
40,we had a very nice time.,-1
41,"the waiter was attentive, the food was delicious and the views of the city were great.",30
42,i'd definitely go back again.,-1
43,great place to relax and enjoy your dinner,28
44,there is something about their atmosphere that makes me come back nearly every week.,-1
45,"place is open till late, no dress code.",-1
46,good food: my favorite is the seafood spaghetti.,28
47,highly recommended!,-1
48,excellent food for great prices,28
49,my husband and i have been sold on this from the first visit.,-1
50,the wait staff is very courteous and accomodating.,30
51,"the space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.",30
52,there are no negatives to speak of.,-1
53,the bestt!,-1
54,my favorite place lol,-1
55,i love their chicken pasta cant remember the name but is sooo good,-1
56,its alright,-1
57,"im not necessarily fanatical about this place, but it was a fun time for low pirces.",-1
58,"lobster was good, nothing spectacular.",-1
59,"its just a fun place to go, not a five star restaraunt.",-1
60,way below average,-1
61,i think the pizza is so overrated and was under cooked.,11
62,had no flavor and the staff is rude and not attentive.,-1
63,would never go back,-1
64,i love this place,9
65,i wasn't here for the pizza so i can't comment on that yet but what i had was very good.,-1
66,the service was quick and friendly.,30
67,everyone was smiling so that made me feel welcome.,-1
68,i thought the restaurant was nice and clean.,27
69,i ordered the vitello alla marsala and i was pretty impressed.,27
70,the veal and the mushrooms were cooked perfectly.,30
71,the potato balls were not dry at all... in fact it was buttery.,30
72,the only downside... they only take cash which is ok if you know about it ahead of time.,-1
73,i'll be back for sure.,-1
74,worst place on smith street in brooklyn,28
75,"very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.",28
76,i would never recommend this place to anybody even for a casual dinner.,-1
77,awesome,-1
78,the food is always fresh ...,-1
79,overpriced japanese food with mediocre service,-1
80,went here on sat 1/26 and was disappointed.,-1
81,chicken teriyaki had tomato or pimentos on top??,30
82,food was luke warm.,-1
83,the waitress was not attentive at all.,30
84,i was looking for banana tempura for dessert and they dont have.,-1
85,"not because you are ""the four seasons""... – you are allowed to charge an arm and a leg for a romatic dinner.",-1
86,"the food was excellent as well as service, however, i left the four seasons very dissappointed.",11
87,i do not think dinner in manhattan should cost $400.00 where i am not swept off my feet.,-1
88,"red dragon roll - my favorite thing to eat, of any food group - hands down",-1
89,just go to yamato and order the red dragon roll.,-1
90,"if you don't like it, i don't know what to tell you.",-1
91,the seafood dynamite is also otherworldly.,-1
92,i'm not even going to bother to describe it; it speaks for itself.,-1
93,favorite sushi in nyc,28
94,"an unpretentious spot in park slope, the sushi is consistently good, the service is pleasant, effective and unassuming.",30
95,"in the summer months, the back garden area is really nice.",30
96,the rolls are creative and i have yet to find another sushi place that serves up more inventive yet delicious japanese food.,11
97,"the dancing, white river and millenium rolls are musts.",-1
98,so good,-1
99,i can eat here every day of the week really lol love this place ...),26
100,gross food – wow-,28
101,i can't remember the last time i had such gross food in new york.,28
102,my quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.,-1
103,and $11 for a plate of bland guacamole?,-1
104,"don't get me started on the margaritas, either.",9
105,mine tasted like the bartender had forgotten to add the tequila.,-1
106,save your money and your time and go somewhere else.,-1
107,"oh, and i never write reviews--i just was so moved by how bad this place was, i felt it was my duty to spread the word.",-1
108,great indian food!,24
109,when i got there the place was packed but they made sure to seat me quickly.,-1
110,"the food was good, the place was clean and affordable.",30
111,i noticed alot of indian people eatting there which is a great sign for an indian place!,20
112,"this is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .",11
113,the staff is very good.,30
114,love their drink menu.,-1
115,i highly recommend this beautiful place.,28
116,nice for one time special occasion.,-1
117,they honored reservation on sunday afternoon very well. ,-1
118,we were offered water for the table but were not told the voss bottles of water were $8 a piece.,-1
119,food was ok.,-1
120,nice view of river and nyc.,-1
121,i come here enjoy very much with husband.,-1
122,remind me of home.,-1
123,great survice,28
124,mmmmmmmmmmmmmmm so delicious,-1
125,a beautifully designed dreamy egyptian restaurant that gets sceney at night.,24
126,watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.,28
127,"oh, and there's hookah.",4
128,raymond the bartender rocks!,-1
129,pacifico is a great place to casually hang out.,30
130,"the drinks are great, especially when made by raymond.",30
131,the omlette for brunch is great...,-1
132,"the spinach is fresh, definately not frozen...",30
133,"quacamole at pacifico is yummy, as are the wings with chimmichuri.",-1
134,a weakness is the chicken in the salads.,-1
135,"it's just average, just shredded, no seasoning on it.",-1
136,"also, i personally wasn't a fan of the portobello and asparagus mole.",-1
137,"overall, decent food at a good price, with friendly people.",28
138,best indian restaurant in the city,24
139,decor needs to be upgraded but the food is amazing!,30
140,this small astoria souvlaki spot makes what many consider the best gyros in new york.,28
141,"what really makes it shine is the food, which is aggressively seasoned with cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.",9
142,"all the various greek and cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.",25
143,best restaurant in brooklyn,19
144,the best!,-1
145,"great food, amazing service, this place is a class act.",28
146,the veal was incredible last night.,-1
147,"fresh, mind blowing flavors.",-1
148,this place is a must visit!,30
149,"delicious, creative and fun.",-1
150,got a date? go here!,-1
